_id,Nummer,Name,Breitengrad,Längengrad,Standorttyp,Koordinaten,Kunden-ID,Objektmanager-ID,Vorname,Nachname,Status,Rechnungsempfänger-IDs,Tags,Straße,PLZ,Stadt,Land,Gehalt,Fahrtzeitenerfassung erlaubt,lastModified,Schlüssel,Beschreibung,Sicherheitscode,Enddatum,Startdatum,lead_id
de4a4048-83a0-490d-bd99-f2e972dd9e82,,Resmini Hugenottenplatz 1,,,,,,,,,0,,,Hugenottenplatz 1,13127,Berlin,,,,30.08.2024 08:49:13,,,,,,
66d188b162de36e4f0000fba,100033,Dat Cookie GmbH,"52,5246053","13,4029175",Point,"[13.4029175,52.5246053]",66d188b130d9da72b40d8e16,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Rosenthaler Straße 36,10178,Berlin,Deutschland,0,false,30.08.2024 10:59:50,,,,,,
66d6c154df73f2e5450019b7,10189,Honey Lou Bar,"52,4801219","13,4381017",Point,"[13.438101699999999,52.4801219]",66d6c115e82e1eb54704b9a4,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Anzengruberstr 3,12043,Berlin,Deutschland,0,false,03.09.2024 12:56:18,,,,,,
66daec2c802e0e329f0e20f2,100034,Chaka 2 GmbH,"52,5257563","13,3888209",Point,"[13.388820899999999,52.5257563]",66daec0c3023fe0548067678,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Oranienburger Straße 54,10178,Berlin,Deutschland,0,false,10.09.2024 18:56:11,,,,,,
ca9f715a-7cf6-458e-a766-0eaffb300689,,Bellicon,,,,,,,,,0,,,,10117,Berlin,,,,09.09.2024 16:01:36,,,,,,
d47a79cf-8f5d-4844-acca-a7694c152a15,,Planer in derbPanke,,,,,,,,,0,,,Dadstraße 40a,13357,Berlin,,,,10.09.2024 10:28:04,,,,,,
d21078f3-69f0-43e7-9894-6381b1b47d45,,Gjp-Steuerberater,,,,,,,,,0,,,Prenzlauer Allee 39,10405,Berlin,,,,10.09.2024 11:46:04,,,,,,
66cd8eb709758d09920463a4,100032,Mawista GmbH,"52,53376","13,3708187",Point,"[13.3708187,52.53376]",66cd8eb7e8d9a6fd2a04a00f,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Scharnhorststraße 26,10115,Berlin,Deutschland,0,false,11.09.2024 08:20:02,,,,,,
8d523c90-f3ba-4592-8a17-cb4a9d926f10,,B&O,,,,,,,,,0,,,,,Berlin,,,,11.09.2024 09:22:40,,,,,,
4e91d93e-62ec-479f-a80d-730d37ddf8de,,Carra pflege,,,,,,,,,0,,,,,Berlin,,,,12.09.2024 12:54:26,,,,,,
